RepeatStatus,Rating,Marketing_Consent,isCash,isWeb,Briefcases,Backpacks,Clutches,Duffels,Totes,Messengers,Bifold_Wallets,Coin_Card_Holders,Passport_Wallets,Long_Wallets,Luggage_Tags,Lanyard,Bag_Straps,Bracelets,isMale,percentDiscount,Payment_Method
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.1,custom
0,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.05,Stripe
0,4,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.05,custom
0,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Cash
0,5,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.05,GrabPay
0,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Stripe
0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.2,custom
0,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,custom
0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1,"Atome - 3 easy payments, 0% interest"
0,5,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.1,Stripe
0,3,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1,Stripe
0,3,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.05,Stripe
0,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1,Stripe
0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.4,custom
0,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,custom
0,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,custom
0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.05,Stripe
0,3,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1,GrabPay
0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.2,custom
0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.05,Stripe
1,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.05,custom
0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.05,custom
1,3,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,hoolah
0,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Cash
0,3,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,Stripe
1,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.251882845,custom
0,3,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1,custom
0,5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.05,Stripe
1,4,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.05,Stripe
0,5,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.05,GrabPay
0,3,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Atome - 3 easy payments, 0% interest"
0,2,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Stripe
0,4,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.05,GrabPay
0,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0.178475336,custom
0,4,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.05,GrabPay
0,4,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.05,GrabPay
0,4,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.05,Stripe
0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1,custom
1,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,GrabPay
1,5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,custom
1,3,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.092957746,Stripe
0,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.05,Stripe
0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.046724891,Stripe
1,5,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Stripe
0,4,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.1,custom
0,5,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.05,"Atome - 3 easy payments, 0% interest"
0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,custom
0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.4,custom
1,4,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Stripe
0,5,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hoolah
0,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.2,custom
0,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.2,custom
1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.2,Stripe
0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2,"Atome - 3 easy payments, 0% interest"
