RepeatStatus,Gender,MEMBER_RATING,Accepts Marketing,Discount_Percentage,Total,Installment,Source,PersonalizationDone,NumberItemsTotal,Briefcases,Backpacks,Clutches,Duffels,Totes,Messengers,Bifold Wallets,Coin & Card Holders,Passport Wallets,Long Wallets,Luggage Tags,Lanyard,Bag Straps,Bracelets,Festive_purchase,Order_ID
0,M,4,no,0,216,Cash,pos,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,#5679
0,F,3,yes,0.05,119.7,Cash,web,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,#5678
0,F,3,no,0.1,143.1,Cash,web,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,#5677
0,F,2,no,0.2,78.4,Cash,pos,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,#5676
0,F,3,yes,0.05,45.6,Cash,web,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,#5675
0,M,2,no,0.05,568.1,Cash,pos,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,#5673
0,M,4,yes,0,149,Cash,pos,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,#5671
0,M,3,yes,0.1,706.5,Cash,web,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,#5669
0,F,3,no,0.1,230.4,Cash,web,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,#5667
0,M,5,yes,0.05,188.1,Cash,pos,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,#5666
1,M,4,yes,0.05,170.05,Cash,web,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,#5665
0,F,5,yes,0.05,170.05,Cash,web,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,#5664
0,F,3,yes,0,246,Installment,web,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,#5663
0,F,2,yes,0,247,Cash,web,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,#5662
0,M,4,yes,0.05,93.1,Cash,web,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,#5661
0,M,2,no,0.18,732.8,Cash,pos,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,#5660
0,F,4,yes,0.05,186.2,Cash,web,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,#5659
0,F,4,no,0.05,160.55,Cash,web,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,#5658
0,M,4,yes,0.05,141.55,Cash,web,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,#5657
0,F,2,yes,0.1,134.1,Cash,pos,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,#5656
0,F,2,yes,0.05,151.05,Cash,web,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,#5650
0,M,2,yes,0.05,218.3,Cash,web,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,#5649
0,F,4,yes,0.1,149.4,Cash,web,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,#5647
0,M,5,yes,0.05,303.05,Installment,web,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,#5646
0,F,1,yes,0.4,148.8,Cash,pos,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,#5642
0,F,5,yes,0,198,Installment,web,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,#5640
0,M,4,no,0.2,198.4,Cash,pos,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,#5639
